Temperature_K,Coherence_Time_s
270.0,3.7037037037037037e-05
272.0408163265306,3.675918979744936e-05
274.0816326530612,3.6485480268056594e-05
276.1224489795918,3.6215816703621586e-05
278.16326530612247,3.5950110051357295e-05
280.2040816326531,3.5688273852876913e-05
282.2448979591837,3.5430224150397683e-05
284.2857142857143,3.517587939698493e-05
286.3265306122449,3.4925160370634356e-05
288.36734693877554,3.467799009200282e-05
290.40816326530614,3.443429374560787e-05
292.44897959183675,3.4193998604326586e-05
294.48979591836735,3.3957033957033956e-05
296.53061224489795,3.372333103922918e-05
298.57142857142856,3.349282296650718e-05
300.61224489795916,3.326544467073999e-05
302.6530612244898,3.3041132838840186e-05
304.6938775510204,3.281982585398527e-05
306.734693877551,3.260146373918829e-05
308.7755102040816,3.238598810310641e-05
310.81632653061223,3.217334208798424e-05
312.8571428571429,3.19634703196347e-05
314.8979591836735,3.1756318859364875e-05
316.9387755102041,3.1551835157759176e-05
318.9795918367347,3.134996801023673e-05
321.0204081632653,3.115066751430388e-05
323.0612244897959,3.0953885028427036e-05
325.1020408163265,3.075957313245449e-05
327.14285714285717,3.0567685589519645e-05
329.18367346938777,3.0378177309361434e-05
331.2244897959184,3.019100431300062e-05
333.265306122449,3.0006123698714026e-05
335.3061224489796,2.982349360925137e-05
337.34693877551024,2.9643073200241984e-05
339.38775510204084,2.946482260974143e-05
341.42857142857144,2.928870292887029e-05
343.46938775510205,2.9114676173499702e-05
345.51020408163265,2.8942705256940347e-05
347.55102040816325,2.877275396359366e-05
349.59183673469386,2.8604786923525978e-05
351.63265306122446,2.8438769587928033e-05
353.6734693877551,2.827466820542412e-05
355.7142857142857,2.8112449799196785e-05
357.7551020408163,2.7952082144894466e-05
359.7959183673469,2.7793533749290984e-05
361.8367346938776,2.763677382966723e-05
363.8775510204082,2.7481772293886706e-05
365.9183673469388,2.732849972113776e-05
367.9591836734694,2.7176927343316695e-05
370.0,2.7027027027027027e-05
